날짜,실입장객
2025-11-02,7602
2025-11-03,1802
2025-11-04,1869
2025-11-05,2044
2025-11-06,2693
2025-11-07,6422
2025-11-08,14001
2025-11-09,9058
2025-11-10,2722
2025-11-11,1547
2025-11-12,1957
2025-11-13,2947
2025-11-14,4787
2025-11-15,11938
2025-11-16,7906
2025-11-17,1028
2025-11-18,1044
2025-11-19,630
2025-11-20,1069
2025-11-21,1918
2025-11-22,9015
2025-11-23,5688
2025-11-24,916
2025-11-25,355
2025-11-26,1881
2025-11-27,360
2025-11-28,1439
2025-11-29,7703
2025-11-30,6402
2025-12-01,917
2025-12-02,376
2025-12-03,258
2025-12-04,169
2025-12-05,294
2025-12-06,2377
2025-12-07,4136
2025-12-08,445
2025-12-09,608
2025-12-10,1032
2025-12-11,500
2025-12-12,962
2025-12-13,371
2025-12-14,1865
2025-12-15,422
2025-12-16,287
2025-12-17,685
2025-12-18,827
2025-12-19,1683
2025-12-20,2907
2025-12-21,2763
2025-12-22,950
2025-12-23,272
2025-12-24,2020
2025-12-25,7750
2025-12-26,427
2025-12-27,5604
2025-12-28,4861
2025-12-29,2337
2025-12-30,2274
2025-12-31,1881
